id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
65995000,250000,HOUSE,HOUSE,Wallonia,Hainaut,Soignies,7070,,,1874,240,150,2,5,INSTALLED,0,1,1,30,0,0,0,1,GOOD,493,F,FUELOIL,1,624
38224000,280000,HOUSE,BUNGALOW,Wallonia,Liège,Verviers,4652,50.5998798,5.7755626,1973,233,770,4,2,MISSING,0,0,1,25,1,1,0,0,TO_RENOVATE,491,F,FUELOIL,0,1176
56971000,199000,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8000,51.219937,3.2323961,,75,27,4,2,MISSING,0,0,0,0,0,0,0,0,GOOD,474,E,ELECTRIC,1,299
33510000,260000,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,9300,50.9372516,4.0259357,1966,108,,,3,HYPER_EQUIPPED,0,0,1,14,0,0,0,1,MISSING,228,C,MISSING,0,1209
54903000,230000,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5000,,,,80,,3,3,INSTALLED,0,0,0,0,0,0,0,0,JUST_RENOVATED,194,C,GAS,1,1286
2414000,285000,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9400,50.8447697,4.0232154,1968,154,351,3,3,MISSING,0,0,1,,0,0,0,1,GOOD,568,F,GAS,1,666
21480000,690000,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2350,51.3172009,4.8961971,1990,,1259,,2,INSTALLED,0,0,0,0,1,920,1,1,AS_NEW,,C,FUELOIL,1,
38677000,365000,HOUSE,APARTMENT_BLOCK,Wallonia,Liège,Verviers,4845,50.559041,5.9668135,,,0,,6,MISSING,0,1,1,,0,0,0,1,MISSING,444,F,MISSING,0,
71295000,209000,APARTMENT,FLAT_STUDIO,Flanders,Flemish Brabant,Leuven,3000,50.8774414,4.7039786,1990,43,,,1,MISSING,0,0,0,0,0,0,0,0,MISSING,220,C,ELECTRIC,1,694
35871000,159000,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1070,50.8280924,4.2858117,,50,,,1,SEMI_EQUIPPED,0,0,0,0,0,0,0,1,TO_RESTORE,386,G,GAS,1,
36571000,400000,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5100,50.4453303,4.8749873,2024,155,,2,3,HYPER_EQUIPPED,0,0,1,,0,0,0,0,AS_NEW,,MISSING,MISSING,1,
55045000,361167,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1800,50.9166594,4.4189842,,123,,,3,MISSING,0,0,1,12,0,0,0,1,MISSING,,A,MISSING,1,
27036000,259000,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9300,50.9483839,4.0551517,,130,90,,3,SEMI_EQUIPPED,0,1,1,28,0,0,0,0,JUST_RENOVATED,122,B,GAS,1,589
63051000,428000,HOUSE,HOUSE,Flanders,West Flanders,Kortrijk,8570,50.8358932,3.4035716,1975,362,378,,3,MISSING,0,0,0,0,0,0,0,0,GOOD,324,D,MISSING,0,1302
45895000,479000,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2400,51.1843912,5.1057206,1978,260,590,3,3,MISSING,0,0,1,,0,0,0,0,MISSING,211,C,GAS,1,1256
49247000,379000,APARTMENT,GROUND_FLOOR,Wallonia,Liège,Liège,4100,50.5798326,5.5471062,,129,,,3,MISSING,0,0,1,61,0,0,0,1,MISSING,,B,MISSING,1,
55947000,700000,HOUSE,OTHER_PROPERTY,Wallonia,Namur,Namur,5190,50.4793647,4.7129856,,,2766,4,3,INSTALLED,0,0,1,,0,0,0,1,GOOD,324,D,FUELOIL,0,2723
35522000,419000,APARTMENT,PENTHOUSE,Flanders,Limburg,Hasselt,3500,50.9434893,5.3462535,,130,,2,3,MISSING,0,0,1,38,0,0,0,1,MISSING,98,A,GAS,1,
38799000,579000,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8000,51.2077904,3.2291047,,,,,3,MISSING,0,0,0,0,0,0,0,0,GOOD,,MISSING,GAS,1,2967
52697000,449000,HOUSE,HOUSE,Flanders,East Flanders,Sint-Niklaas,9140,51.125298,4.2305049,1918,175,499,3,3,MISSING,0,0,1,90,0,0,0,0,GOOD,29,A,ELECTRIC,1,687
18331000,159000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2610,51.1770857,4.382449,1972,63,,,1,MISSING,0,1,1,5,0,0,0,1,GOOD,136,B,GAS,1,659
25090000,388800,APARTMENT,GROUND_FLOOR,Brussels-Capital,Brussels,Brussels,1020,50.8806686,4.3529359,2023,102,,2,2,USA_HYPER_EQUIPPED,0,0,1,40,0,0,0,1,AS_NEW,,MISSING,GAS,1,
74524000,260000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2140,51.206795,4.4494177,1955,65,,2,2,MISSING,0,0,0,0,1,70,0,0,GOOD,,C,GAS,1,
40138000,250000,APARTMENT,APARTMENT,Flanders,Limburg,Maaseik,3920,51.2328763,5.29108,2024,87,,,2,HYPER_EQUIPPED,0,0,1,15,1,66,0,0,AS_NEW,,MISSING,MISSING,1,
7200000,286000,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2500,51.1396768,4.5503972,2022,89,,,2,HYPER_EQUIPPED,0,0,1,8,0,0,0,0,AS_NEW,19,A,MISSING,1,
9148000,349000,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8000,51.200408,3.2249271,1850,112,67,2,3,SEMI_EQUIPPED,0,0,1,17,1,17,0,0,TO_BE_DONE_UP,269,C,GAS,0,498
